,ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes,Name,User_ID_1,User_ID_2,User_ID_3,User_ID_4,Date
109,400184,680,N,4,13,16000.0,19.09,50.597,37.964604,-122.055102,0.269,ML,4,WILLOW PASS  ON-N-DIAG,DT853,L4-N-28-680-01909,682280,418613,2015_01_10
110,400185,85,N,4,85,68000.0,16.06,16.236,37.303131,-122.034527,0.91,ML,3,De Anza Blvd/Saratoga-Sunny,DT606,L3-N-37-085-01606,998087,420877,2015_01_10
111,400186,880,S,4,1,26000.0,11.05,21.277,37.572471,-122.046218,0.55,ML,4,600' N of Paseo Padre Pkwy,DT382,L4-S-33-880-01105,880204,421810,2015_01_10
112,400189,880,N,4,1,26000.0,3.28,13.507,37.493107,-121.948928,0.35,ML,4,Fremont Blvd rm-n-loop,DT993,L4-N-33-880-00328,998359,420066,2015_01_10
113,400190,880,S,4,1,53000.0,28.07,38.297,37.771395,-122.223163,0.56,ML,4,42nd/High St rm-n-diag,DT724,L4-S-33-880-02807,998478,421960,2015_01_10
114,400192,880,S,4,1,68084.0,23.35,33.577,37.71565,-122.173379,0.165,ML,5,Davis St off-n-diag,DT917,L5-S-33-880-02335,880254,426826,2015_01_10
115,400193,680,S,4,13,57764.0,17.01,48.529,37.935406,-122.060387,0.462,ML,4,Oak Park Blvd,DT550,L4-S-28-680-01701,681274,421588,2015_01_10
116,400195,101,N,4,85,68000.0,33.27,382.903,37.321278,-121.834098,0.65,ML,5,Tully Rd rm-n-loop,DTB01,l5-N-37-101-03327,998133,426504,2015_01_10
117,400197,24,E,4,13,39122.0,6.73,11.078,37.895088,-122.112962,0.43,ML,4,FIRST ST,DT449,L4-E-28-024-00673,024143,418379,2015_01_10
118,400201,237,W,4,85,68000.0,6.7,6.752,37.419186,-121.962831,0.462,ML,3,N FIRST STREET,DT193,L3-W-37-237-00670,998231,418931,2015_01_10
119,400202,580,E,4,13,60620.0,2.31,66.236,37.92135,-122.337615,0.74,ML,3,Marina Bay Parkway (S 23rd St),DT121,L3-E-28-580-00231,580282,418671,2015_01_10
