trip_id,person_id,household_id,tour_id,primary_purpose,trip_num,outbound,trip_count,purpose,destination,origin,destination_logsum,depart,trip_mode,mode_choice_logsum,in_Zone
13994453,42666,13589,1749306,atwork,1,FALSE,1,Work,660,660,NA,14,WALK,-0.428175276412139,TRUE
13994765,42666,13589,1749345,work,1,FALSE,2,social,862,660,10.961588638396298,20,DRIVEALONEFREE,-0.7970919617166445,TRUE
13994766,42666,13589,1749345,work,2,FALSE,2,Home,1033,862,NA,20,DRIVEALONEFREE,-0.7642202770167249,TRUE
13995025,42667,13589,1749378,school,1,TRUE,1,school,1083,1033,NA,7,DRIVEALONEFREE,-0.20988853962127246,TRUE
13995029,42667,13589,1749378,school,1,FALSE,1,Home,1033,1083,NA,14,SHARED3FREE,-0.188205265201399,TRUE
13995353,42668,13589,1749419,school,1,TRUE,1,school,1032,1033,NA,9,SHARED3FREE,-0.39254968401222917,TRUE
13995357,42668,13589,1749419,school,1,FALSE,1,Home,1033,1032,NA,14,SHARED3FREE,-0.39254968401222917,TRUE
13995681,42669,13589,1749460,school,1,TRUE,1,school,752,1033,NA,12,SHARED3FREE,-0.6593020300105207,TRUE
13995685,42669,13589,1749460,school,1,FALSE,1,Home,1033,752,NA,16,SHARED3FREE,-0.6688015166488614,TRUE
14289961,43566,14065,1786245,work,1,TRUE,1,work,969,957,NA,8,WALK,-0.8481086240351798,TRUE
14289965,43566,14065,1786245,work,1,FALSE,1,Home,957,969,NA,15,WALK,-0.8481008165559626,TRUE
14290177,43567,14065,1786272,othdiscr,1,TRUE,3,othmaint,964,957,8.911236037392644,17,WALK,-0.46058155444764587,TRUE
14290178,43567,14065,1786272,othdiscr,2,TRUE,3,othdiscr,946,964,8.69913165630069,17,WALK,-0.3794063150656905,TRUE
14290179,43567,14065,1786272,othdiscr,3,TRUE,3,othdiscr,1040,946,NA,17,WALK,-1.6716973575221916,TRUE
14290181,43567,14065,1786272,othdiscr,1,FALSE,1,Home,957,1040,NA,17,WALK,-1.4373392949216244,TRUE
14785785,45078,14819,1848223,othdiscr,1,TRUE,1,othdiscr,1058,1035,NA,5,SHARED2FREE,0.49867352693815303,TRUE
14785789,45078,14819,1848223,othdiscr,1,FALSE,4,shopping,1094,1058,13.682652463479343,10,DRIVEALONEFREE,0.39833651475052456,TRUE
14785790,45078,14819,1848223,othdiscr,2,FALSE,4,social,947,1094,14.646576252259694,10,DRIVEALONEFREE,0.0727587341643569,TRUE
14785791,45078,14819,1848223,othdiscr,3,FALSE,4,shopping,1027,947,13.538056536120484,10,SHARED2FREE,0.3330256659414757,TRUE
14785792,45078,14819,1848223,othdiscr,4,FALSE,4,Home,1035,1027,NA,10,DRIVEALONEFREE,0.6650486081930083,TRUE
15299497,46644,15824,1912437,shopping,1,TRUE,1,shopping,989,1038,NA,15,DRIVEALONEFREE,0.11923369281034289,TRUE
15299501,46644,15824,1912437,shopping,1,FALSE,1,Home,1038,989,NA,15,TAXI,0.10936667136391467,TRUE
15299873,46645,15824,1912484,work,1,TRUE,2,escort,1063,1038,11.792567577007215,17,WALK,-0.1432683215786094,TRUE
15299874,46645,15824,1912484,work,2,TRUE,2,work,1210,1063,NA,17,DRIVEALONEFREE,-0.5082460192276276,TRUE
15299877,46645,15824,1912484,work,1,FALSE,2,shopping,792,1210,11.366474778984431,21,DRIVEALONEFREE,-0.5022958089372527,TRUE
15299878,46645,15824,1912484,work,2,FALSE,2,Home,1038,792,NA,21,DRIVEALONEFREE,-0.5277566943846029,TRUE
15416313,47000,16025,1927039,work,1,TRUE,1,work,738,1039,NA,7,DRIVEALONEFREE,1.0082667822147218,TRUE
15416317,47000,16025,1927039,work,1,FALSE,2,work,971,738,19.135115114428253,12,SHARED3FREE,0.9242869347746294,TRUE
15416318,47000,16025,1927039,work,2,FALSE,2,Home,1039,971,NA,12,SHARED2FREE,1.1733133282696115,TRUE
15416641,47001,16025,1927080,work,1,TRUE,1,work,1713,1039,NA,7,DRIVEALONEFREE,-0.9510234358325492,TRUE
15416645,47001,16025,1927080,work,1,FALSE,1,Home,1039,1713,NA,17,DRIVEALONEFREE,-1.0619777690306353,TRUE
15417297,47003,16025,1927162,work,1,TRUE,1,work,941,1039,NA,8,DRIVEALONEFREE,-0.33393766014524867,TRUE
15417301,47003,16025,1927162,work,1,FALSE,1,Home,1039,941,NA,17,DRIVEALONEFREE,-0.3505894925896658,TRUE
